target_id	length	eff_length	est_counts	tpm
nHd.2.3.1.t00413-RA	495	317.911	597	10.4067
nHd.2.3.1.t19175-RA	2038	1860.34	322	0.959194
nHd.2.3.1.t18442-RA	930	752.352	873	6.43036
nHd.2.3.1.t12235-RA	1470	1292.34	1718	7.36699
nHd.2.3.1.t02367-RA	1245	1067.34	4877	25.3217
nHd.2.3.1.t21527-RA	332	159.392	248	8.62239
nHd.2.3.1.t08651-RA	1845	1667.34	95409	317.109
nHd.2.3.1.t15304-RA	930	752.352	97.1698	0.715736
nHd.2.3.1.t05910-RA	4209	4031.34	31284	43.0046
nHd.2.3.1.t10528-RA	483	306.073	2653	48.0347
nHd.2.3.1.t03836-RA	2970	2792.34	250	0.496152
nHd.2.3.1.t22236-RA	311	139.945	0	0
nHd.2.3.1.t19466-RA	201	49.7634	0	0
nHd.2.3.1.t18390-RA	648	470.41	221	2.6035
nHd.2.3.1.t15690-RA	1341	1163.34	4273	20.3549
nHd.2.3.1.t19241-RA	824	646.366	1714	14.6952
nHd.2.3.1.t18975-RA	264	98.3661	64.021	3.60678
nHd.2.3.1.t20029-RA	504	326.878	28	0.474694
nHd.2.3.1.t11623-RA	4797	4619.34	11801	14.1573
nHd.2.3.1.t09113-RA	1239	1061.34	36571	190.953
nHd.2.3.1.t00596-RA	2145	1967.34	458	1.29012
nHd.2.3.1.t17905-RA	4025	3847.34	1781	2.56535
nHd.2.3.1.t11154-RA	915	737.352	4320	32.4677
nHd.2.3.1.t01454-RA	213	58.1725	4.03876	0.384744
nHd.2.3.1.t18733-RA	635	457.419	2386	28.9067
nHd.2.3.1.t17496-RA	636	458.419	828	10.0094
nHd.2.3.1.t06929-RA	990	812.336	11	0.0750411
nHd.2.3.1.t22434-RA	294	124.527	334.239	14.8743
nHd.2.3.1.t22307-RA	229	69.9754	111	8.79062
nHd.2.3.1.t22643-RA	216	60.3528	429	39.3914
nHd.2.3.1.t04437-RA	690	512.39	875	9.46345
nHd.2.3.1.t04636-RA	4482	4304.34	22140	28.5045
nHd.2.3.1.t11249-RA	1926	1748.34	6	0.0190182
nHd.2.3.1.t13084-RA	2046	1868.34	42920	127.305
nHd.2.3.1.t21480-RA	467	290.198	6581	125.672
nHd.2.3.1.t08825-RA	720	542.39	1319	13.4764
nHd.2.3.1.t16419-RA	1452	1274.34	4665.96	20.2908
nHd.2.3.1.t04692-RA	5403	5225.34	7622.74	8.08424
nHd.2.3.1.t09975-RA	1185	1007.34	13935	76.661
nHd.2.3.1.t16189-RA	1890	1712.34	4957.14	16.0429
nHd.2.3.1.t06684-RA	1509	1331.34	588	2.44755
nHd.2.3.1.t13684-RA	654	476.41	2190	25.4745
nHd.2.3.1.t10793-RA	1167	989.336	393	2.20136
nHd.2.3.1.t01565-RA	4185	4007.34	8561	11.8389
nHd.2.3.1.t21603-RA	321	149.11	24	0.89196
nHd.2.3.1.t22002-RA	546	368.657	0	0
nHd.2.3.1.t08540-RA	567	389.544	148.09	2.10674
nHd.2.3.1.t05211-RA	4875	4697.34	4429.61	5.22584
nHd.2.3.1.t15537-RA	939	761.352	5566	40.5135
nHd.2.3.1.t06924-RA	1824	1646.34	5	0.0168304
nHd.2.3.1.t15063-RA	747	569.39	1807.61	17.5929
nHd.2.3.1.t07888-RA	291	121.863	3	0.136424
nHd.2.3.1.t10291-RA	771	593.378	78	0.728459
nHd.2.3.1.t19586-RA	1113	935.336	32	0.189594
nHd.2.3.1.t21807-RA	303	132.638	425.182	17.7643
nHd.2.3.1.t03591-RA	681	503.39	5	0.0550437
nHd.2.3.1.t09455-RA	2238	2060.34	9	0.0242073
nHd.2.3.1.t17003-RA	1458	1280.34	386.37	1.67233
nHd.2.3.1.t21726-RA	139	18.1299	35	10.6983
nHd.2.3.1.t04271-RA	348	174.423	2845	90.3901
nHd.2.3.1.t12989-RA	501	323.898	212	3.62719
nHd.2.3.1.t06986-RA	393	217.608	4	0.101865
nHd.2.3.1.t16060-RA	2005	1827.34	11364	34.4631
nHd.2.3.1.t21947-RA	470	293.186	180.512	3.41196
nHd.2.3.1.t09295-RA	858	680.366	103.518	0.843169
nHd.2.3.1.t05862-RA	1758	1580.34	17116	60.0199
nHd.2.3.1.t15236-RA	375	200.251	154.88	4.28611
nHd.2.3.1.t19556-RA	951	773.352	1091.85	7.82399
nHd.2.3.1.t13374-RA	390	214.713	3991	103.007
nHd.2.3.1.t05822-RA	558	380.575	465.174	6.77357
nHd.2.3.1.t12819-RA	1059	881.336	10	0.0628783
nHd.2.3.1.t09381-RA	2499	2321.34	17775	42.434
nHd.2.3.1.t06791-RA	996	818.336	1136	7.69288
nHd.2.3.1.t21860-RA	150	21.8511	0	0
nHd.2.3.1.t15775-RA	315	143.543	1	0.0386065
nHd.2.3.1.t15474-RA	235	74.7051	728	54.0036
nHd.2.3.1.t07117-RA	3317	3139.34	32924	58.1188
nHd.2.3.1.t12944-RA	1959	1781.34	824	2.56344
nHd.2.3.1.t09700-RA	984	806.336	248	1.70442
nHd.2.3.1.t14111-RA	207	53.9168	541.596	55.6665
nHd.2.3.1.t20440-RA	290	120.972	122	5.58876
nHd.2.3.1.t19495-RA	909	731.352	1017.08	7.70671
nHd.2.3.1.t20687-RA	840	662.366	771.603	6.45562
nHd.2.3.1.t01411-RA	1308	1130.34	89	0.43634
nHd.2.3.1.t12363-RA	1143	965.336	3629	20.8329
nHd.2.3.1.t21800-RA	326	153.757	995.228	35.8699
nHd.2.3.1.t08353-RA	1920	1742.34	7604	24.1853
